ID_ROTINA;CONTRATO;OPERADORA;TIPO DE ARQUIVO
164;469115;BRADESCO SPG;FATURA TÉCNICA
034971;422054;BRADESCO SPG;FATURA TÉCNICA
9010;93007898;GNDI;FATOR MODERADOR
9011;93007898;GNDI;FATURA TÉCNICA
9012;93007900;GNDI;FATOR MODERADOR
103;62974;SUL AMÉRICA;FATURA TÉCNICA
104;631114;ODONTOPREV;FATURA TÉCNICA
105;987488;ODONTOPREV;FATURA TÉCNICA
143;17964;SUL AMÉRICA;FATURA TÉCNICA
144;82836;SUL AMÉRICA;FATURA TÉCNICA
133;93646;BRADESCO;FATURA TÉCNICA
175;123534;BRADESCO SPG;FATURA TÉCNICA
176;73053;BRADESCO;FATURA TÉCNICA
177;50905;CARE PLUS;FATURA TÉCNICA
124;72583;BRADESCO;FATURA TÉCNICA
125;72583;BRADESCO;FATURA TÉCNICA
130;241812;UNIMED BH;FATURA TÉCNICA
132;2011146;UNIMED FESC;FATURA TÉCNICA
116;2011146;UNIMED FESC;FATOR MODERADOR
117;2011147;UNIMED FESC;FATURA TÉCNICA
118;2011147;UNIMED FESC;FATOR MODERADOR
119;2011148;UNIMED FESC;FATURA TÉCNICA
120;2011148;UNIMED FESC;FATOR MODERADOR
121;2011149;UNIMED FESC;FATURA TÉCNICA
122;2011149;UNIMED FESC;FATOR MODERADOR
123;2011150;UNIMED FESC;FATURA TÉCNICA
4288;2011150;UNIMED FESC;FATOR MODERADOR
9039;1254220;AMIL;FATURA TÉCNICA
178;1121210000;ONE HEALTH;FATURA TÉCNICA
8384;469523;BRADESCO;FATURA TÉCNICA
179;70089;BRADESCO;FATURA TÉCNICA
180;91591;BRADESCO;FATURA TÉCNICA
181;91591;BRADESCO;FATURA TÉCNICA
7173;445563;BRADESCO SPG;FATURA TÉCNICA
182;74455;BRADESCO;FATURA TÉCNICA
183;204044;SUL AMÉRICA;FATURA TÉCNICA
5468;204049;SUL AMÉRICA;FATURA TÉCNICA
184;71217;BRADESCO;FATURA TÉCNICA
185;72602;BRADESCO;FATURA TÉCNICA
7169;467279;BRADESCO SPG;FATURA TÉCNICA
7178;20604;CARE PLUS;FATOR MODERADOR
6698;74395;BRADESCO;FATURA TÉCNICA
6699;74395;BRADESCO;FATOR MODERADOR
9043;8JVDM;SUL AMÉRICA;FATURA TÉCNICA
6712;8JVER;SUL AMÉRICA;FATURA TÉCNICA
6713;8JVET;SUL AMÉRICA;FATURA TÉCNICA
6714;8JVF5;SUL AMÉRICA;FATURA TÉCNICA
6717;8JVFI;SUL AMÉRICA;FATURA TÉCNICA
6718;8JVFK;SUL AMÉRICA;FATURA TÉCNICA
6719;8JVWD;SUL AMÉRICA;FATURA TÉCNICA
9065; 8JVWL;SUL AMÉRICA;FATURA TÉCNICA
9066;8JVWP;SUL AMÉRICA;FATURA TÉCNICA
9067;8JVWQ;SUL AMÉRICA;FATURA TÉCNICA
9068;8JVWR;SUL AMÉRICA;FATURA TÉCNICA
9069;8JW0R;SUL AMÉRICA;FATURA TÉCNICA
9070; 8JW15;SUL AMÉRICA;FATURA TÉCNICA
9071;8JW1H;SUL AMÉRICA;FATURA TÉCNICA
9072;8JW1N;SUL AMÉRICA;FATURA TÉCNICA
9073; 8JW1O;SUL AMÉRICA;FATURA TÉCNICA
9080;8K1EA;SUL AMÉRICA;FATURA TÉCNICA
9083;8K1FJ;SUL AMÉRICA;FATURA TÉCNICA
9085;8K1FW;SUL AMÉRICA;FATURA TÉCNICA
9086;8K1G1;SUL AMÉRICA;FATURA TÉCNICA
6741;8KEGS;SUL AMÉRICA;FATURA TÉCNICA
188;8KEH1;SUL AMÉRICA;FATURA TÉCNICA
190;8KEHN;SUL AMÉRICA;FATURA TÉCNICA
300;58480356;PORTO SEGURO;FATURA TÉCNICA
9038;8GO9A;SUL AMÉRICA;FATURA TÉCNICA
9028;929680000;AMIL ;FATOR MODERADOR
9020;936136000;AMIL ;FATOR MODERADOR
9021;018568000 ;AMIL ;FATOR MODERADOR
9022;1088281000;AMIL ;FATOR MODERADOR
9023;1089185000;AMIL ;FATOR MODERADOR
9024;1102883000;AMIL ;FATOR MODERADOR
9025;1111812000;AMIL ;FATOR MODERADOR
9026;1144006000 ;AMIL ;FATOR MODERADOR
9027;1148753000 ;AMIL ;FATOR MODERADOR
6700;1149034000 ;AMIL ;FATOR MODERADOR
6701;1154061000;AMIL ;FATOR MODERADOR
6702;018583000 ;AMIL ;FATOR MODERADOR
6703;228737000;AMIL ;FATOR MODERADOR
6704;256117000;AMIL ;FATOR MODERADOR
6705;353636000;AMIL ;FATOR MODERADOR
6706;356441000;AMIL ;FATOR MODERADOR
6707;423100000;AMIL ;FATOR MODERADOR
6708;583763000;AMIL ;FATOR MODERADOR
6709;647909000;AMIL ;FATOR MODERADOR
6710;732518000;AMIL ;FATOR MODERADOR
9045;738523000;AMIL ;FATOR MODERADOR
9046;886340000;AMIL ;FATOR MODERADOR
9047;886343000;AMIL ;FATOR MODERADOR
9048;886346000;AMIL ;FATOR MODERADOR
9049;886348000;AMIL ;FATOR MODERADOR
9050;886348002;AMIL ;FATOR MODERADOR
9051;886348003;AMIL ;FATOR MODERADOR
9052;886362000;AMIL ;FATOR MODERADOR
